2018-10-24 22:20:20 status unpacked bzip2:amd64 1.0.6-8.1
2018-10-24 22:20:20 install libicu57:amd64 <none> 57.1-6+deb9u2
2018-10-24 22:20:20 status half-installed libicu57:amd64 57.1-6+deb9u2
2018-10-24 22:20:21 status unpacked libicu57:amd64 57.1-6+deb9u2
2018-10-24 22:20:21 status unpacked libicu57:amd64 57.1-6+deb9u2
2018-10-24 22:20:21 install libxml2:amd64 <none> 2.9.4+dfsg1-2.2+deb9u2
2018-10-24 22:20:21 status half-installed libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-10-24 22:20:21 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-10-24 22:20:21 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2018-10-24 22:20:21 install xz-utils:amd64 <none> 5.2.2-1.2+b1
2018-10-24 22:20:21 status half-installed xz-utils:amd64 5.2.2-1.2+b1
2018-10-24 22:20:21 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-10-24 22:20:21 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2018-10-24 22:20:21 install binutils:amd64 <none> 2.28-5
2018-10-24 22:20:21 status half-installed binutils:amd64 2.28-5
2018-10-24 22:20:21 status unpacked binutils:amd64 2.28-5
2018-10-24 22:20:21 status unpacked binutils:amd64 2.28-5
2018-10-24 22:20:21 install openssl:amd64 <none> 1.1.0f-3+deb9u2
2018-10-24 22:20:21 status half-installed openssl:amd64 1.1.0f-3+deb9u2
2018-10-24 22:20:21 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-10-24 22:20:21 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-10-24 22:20:21 install ca-certificates:all <none> 20161130+nmu1+deb9u1
2018-10-24 22:20:21 status half-installed ca-certificates:all 20161130+nmu1+deb9u1
2018-10-24 22:20:22 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2018-10-24 22:20:22 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2018-10-24 22:20:22 install libisl15:amd64 <none> 0.18-1
2018-10-24 22:20:22 status half-installed libisl15:amd64 0.18-1
2018-10-24 22:20:22 status unpacked libisl15:amd64 0.18-1
2018-10-24 22:20:22 status unpacked libisl15:amd64 0.18-1
2018-10-24 22:20:22 install libmpfr4:amd64 <none> 3.1.5-1
2018-10-24 22:20:22 status half-installed libmpfr4:amd64 3.1.5-1
2018-10-24 22:20:22 status unpacked libmpfr4:amd64 3.1.5-1
2018-10-24 22:20:22 status unpacked libmpfr4:amd64 3.1.5-1
2018-10-24 22:20:22 install libmpc3:amd64 <none> 1.0.3-1+b2
